ID,MHPD_0,MHPD_15,MHPD_20,MHPD_25,MHPD_30,MT_0,MT_15,MT_20,MT_25,MT_30
132,0.0,0.05912798585557166,0.11286523442614615,0.19800089032077284,0.3196704458253148,0.0,0.0578,0.1108,0.19015,0.3019
133,0.0,0.06284537278026348,0.11789551454959968,0.20541858192543916,0.3307831344086646,0.0,0.0609,0.1151,0.19785,0.3156
134,0.0,0.0244573540523646,0.05374663725799511,0.10435468251851276,0.18299931476372056,0.0,0.02405,0.0527,0.10305,0.1799
135,0.0,0.055015083796392306,0.10268290264069013,0.1786071287955443,0.28858575924478613,0.0,0.05375,0.1013,0.17415,0.28
136,0.0,0.06031763819236846,0.1037101183356346,0.16931557072919312,0.2625708011934582,0.0,0.05865,0.09745,0.16225,0.2479
137,0.0,0.055581030790850416,0.10595151230282907,0.18645953021960426,0.3026063743794549,0.0,0.0546,0.1045,0.1837,0.29225
138,0.0,0.04907045191689263,0.10616323836419095,0.20040639118298564,0.33593218270172875,0.0,0.04805,0.1026,0.1941,0.32195
139,0.0,0.04661589585958037,0.08599075478181195,0.14896776838998926,0.241950253209127,0.0,0.04555,0.0843,0.14235,0.2321
140,0.0,0.05169369926249834,0.10000818616175777,0.17767368500782843,0.29040350789767944,0.0,0.0517,0.0981,0.17085,0.2803
141,0.0,0.0462428092761592,0.08702206172244709,0.15345242844825024,0.2520421484845644,0.0,0.04625,0.0836,0.14485,0.2407
142,0.0,0.03115115275458713,0.06850763634256185,0.13230537624720773,0.22948180405203655,0.0,0.03265,0.0697,0.1325,0.2244
143,0.0,0.024319088254858956,0.053925203077362927,0.1052304218023189,0.18471127677562638,0.0,0.02435,0.05115,0.09935,0.17365
144,0.0,0.025664310095985354,0.06043471960907898,0.12151853220656705,0.2163222737538686,0.0,0.02615,0.06255,0.12035,0.2069
145,0.0,0.02796115492281892,0.0654103763474958,0.13089441711422967,0.23163829561989902,0.0,0.02745,0.06455,0.1279,0.2209
146,0.0,0.031011263716249515,0.06819630130924925,0.13118095267938024,0.22623691934612122,0.0,0.03425,0.06855,0.126,0.2152
147,0.0,0.05368560495373653,0.09312093562758339,0.15398760144703216,0.24239191725582032,0.0,0.0541,0.09405,0.15085,0.23545
148,0.0,0.03442239709027961,0.06949471574090016,0.12739905358440295,0.21430449201881396,0.0,0.03335,0.0667,0.12285,0.2067
149,0.0,0.036374797543518245,0.08099990198629137,0.15653313385227374,0.2687358579109158,0.0,0.0338,0.07955,0.15525,0.25905
150,0.0,0.024418153903522977,0.055928988466412144,0.11212850540554609,0.2006591584986338,0.0,0.0249,0.0538,0.10625,0.1855
151,0.0,0.03455977671497945,0.07707905893983458,0.14955884478601755,0.25830169974576667,0.0,0.03385,0.07515,0.1451,0.2484
152,0.0,0.05086852470004688,0.09254633183851235,0.1581038931731502,0.2534440484542081,0.0,0.05025,0.0912,0.1542,0.247
153,0.0,0.03557721516572632,0.07640405072747092,0.14586214517128127,0.251019320936423,0.0,0.03375,0.07365,0.13915,0.2347
154,0.0,0.028378997545823514,0.06292394360875864,0.12243951813651865,0.2138626374405843,0.0,0.02845,0.0619,0.1179,0.20225
155,0.0,0.030739266408039145,0.07164790360303086,0.14245356388166097,0.24981855369408057,0.0,0.02965,0.07035,0.14,0.24285
156,0.0,0.031755290865352115,0.07307145649311453,0.14382720933727033,0.25052306713802275,0.0,0.03205,0.07215,0.1366,0.2353
157,0.0,0.03571302066728532,0.08129448396766659,0.15821362273968653,0.2723089870275728,0.0,0.03855,0.0804,0.1506,0.25685
158,0.0,0.04832225554676273,0.09018124079414214,0.15768409220178792,0.2577231541829824,0.0,0.04965,0.0897,0.15545,0.24785
159,0.0,0.022009700946192368,0.051984057300614506,0.10505053286382315,0.18812841982869766,0.0,0.0209,0.0476,0.09945,0.1761
160,0.0,0.063747520712776,0.1156832141883698,0.19658671660206128,0.31170975452321503,0.0,0.06295,0.1122,0.19055,0.29535
161,0.0,0.07826826075184146,0.12848551258807017,0.20180064478485993,0.3031591805970755,0.0,0.07935,0.12635,0.19175,0.2892
162,0.0,0.05521467284116721,0.1021033315760912,0.1758920735596018,0.2822425553733886,0.0,0.0547,0.09975,0.1656,0.27105
163,0.0,0.05621157824649803,0.1010827525254584,0.17067934109687077,0.2703765274783394,0.0,0.05655,0.09925,0.1659,0.2575
164,0.0,0.03798582058314026,0.08078605467892808,0.1523325098517717,0.2590498664152059,0.0,0.0381,0.08185,0.1516,0.25475
165,0.0,0.0625068849153293,0.11258477178826598,0.19009114839368924,0.30009472025032036,0.0,0.06085,0.10695,0.1839,0.2867
166,0.0,0.028361952871184815,0.06635928109819722,0.13262653257923895,0.23396727517582638,0.0,0.02725,0.0657,0.1318,0.22885
167,0.0,0.0247890548333628,0.0586474044324512,0.11825573496522745,0.21095281455222603,0.0,0.0261,0.0594,0.119,0.205
168,0.0,0.04865485392466473,0.09024970497089224,0.1565670723529785,0.253710683509928,0.0,0.0479,0.0873,0.14895,0.24015
169,0.0,0.031632195768702576,0.06819966924406984,0.13121109811517795,0.22804604862545874,0.0,0.03185,0.06575,0.1248,0.21835
170,0.0,0.0159784208831224,0.03633777734488919,0.0715873206049904,0.12693857849857526,0.0,0.0158,0.03475,0.06775,0.11905
171,0.0,0.05775946290419132,0.1054386549038615,0.18027962083284577,0.2880962549393834,0.0,0.0603,0.10715,0.17685,0.2816
172,0.0,0.058866107123011435,0.10223279694129583,0.16848115797037866,0.2631809139620781,0.0,0.0604,0.1011,0.16415,0.25515
173,0.0,0.025472519980829222,0.05579011161342062,0.10776453117727625,0.18787446286037834,0.0,0.0255,0.05355,0.10555,0.1784
174,0.0,0.025598083769526547,0.0557151941070162,0.10689689303368055,0.18498798465626354,0.0,0.02595,0.05675,0.1071,0.175
175,0.0,0.025827231514289672,0.06011456360508305,0.1197932337142058,0.21180694844574277,0.0,0.02635,0.06,0.11765,0.2041
176,0.0,0.05214241511733708,0.09057211195996473,0.14982750774660658,0.23550185716416672,0.0,0.0536,0.09135,0.147,0.2268
177,0.0,0.03165260137383441,0.07055369443393589,0.1374791453960259,0.23977114555010604,0.0,0.03165,0.0678,0.13205,0.22955
178,0.0,0.026666959240407517,0.062246957918243195,0.12432988615949125,0.22003829477194048,0.0,0.028,0.06085,0.1189,0.2094
179,0.0,0.05555750431023565,0.09667292292627205,0.15977595896227093,0.2508613625550663,0.0,0.05475,0.0948,0.15415,0.2412
180,0.0,0.019786740491383292,0.04611295981297536,0.09236591762058688,0.16496325779172738,0.0,0.01735,0.04095,0.0844,0.15285
